player_id,web_name,full_name,team_id,team_name,position,now_cost,status,selected_percent,form,points_per_game,total_points,minutes_season,ict_index,influence,creativity,threat,chance_play_next,gw_xmins,gw_fixture,gw_fdr,gw_is_home,news,news_added,gw,generated_utc
1,Raya,David Raya Martín,1,Arsenal,GK,59,a,32.3,4.8,4.8,53,990,17.0,159.8,10.2,0.0,,0.0,Sunderland (A),3,0,,,11,2025-11-14T06:38:28.636215
2,Arrizabalaga,Kepa Arrizabalaga Revuelta,1,Arsenal,GK,42,a,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,0.0,Sunderland (A),3,0,,,11,2025-11-14T06:38:28.636215
3,Hein,Karl Hein,1,Arsenal,GK,40,u,0.3,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Sunderland (A),3,0,Has joined Werder Bremen on loan for the rest of the season.,2025-08-26T13:44:02.357864Z,11,2025-11-14T06:38:28.636215
4,Setford,Tommy Setford,1,Arsenal,GK,40,a,0.2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,,0.0,Sunderland (A),3,0,,,11,2025-11-14T06:38:28.636215
5,Gabriel,Gabriel dos Santos Magalhães,1,Arsenal,DEF,66,a,43.8,8.5,7.4,81,990,46.9,318.6,62.6,88.0,100.0,80.0,Sunderland (A),3,0,,2025-10-24T14:00:07.880778Z,11,2025-11-14T06:38:28.636215
6,Saliba,William Saliba,1,Arsenal,DEF,60,a,11.6,3.5,3.9,39,724,22.0,169.6,34.1,16.0,100.0,80.0,Sunderland (A),3,0,,2025-10-28T21:00:08.018508Z,11,2025-11-14T06:38:28.636215
7,Calafiori,Riccardo Calafiori,1,Arsenal,DEF,58,a,16.0,4.8,5.5,61,856,41.9,150.0,89.3,181.0,,0.0,Sunderland (A),3,0,,,11,2025-11-14T06:38:28.636215
8,J.Timber,Jurriën Timber,1,Arsenal,DEF,61,a,25.6,4.8,6.1,67,881,63.5,238.0,179.1,216.0,,0.0,Sunderland (A),3,0,,,11,2025-11-14T06:38:28.636215
9,Kiwior,Jakub Kiwior,1,Arsenal,DEF,54,u,0.1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Sunderland (A),3,0,has joined Porto on loan for the rest of the season.,2025-09-02T13:37:25.929594Z,11,2025-11-14T06:38:28.636215
10,Lewis-Skelly,Myles Lewis-Skelly,1,Arsenal,DEF,51,a,1.6,0.5,0.9,6,86,2.0,9.8,7.2,4.0,,0.0,Sunderland (A),3,0,,,11,2025-11-14T06:38:28.636215
